row_id	gene_id	GeneID	Chr	Length	Symbol	type_of_gene
211	3979	4878	1	855	NPPA	protein-coding
212	3980	4879	1	698	NPPB	protein-coding
213	10462	26829	1	119	RNU5E-1	snRNA
214	16815	90231	1	2341	KIAA2013	protein-coding
215	4374	5351	1	3004	PLOD1	protein-coding
216	7950	9927	1	4677	MFN2	protein-coding
217	14288	60672	1	1588	MIIP	protein-coding
218	780	943	1	3736	TNFRSF8	protein-coding
219	5881	7133	1	3675	TNFRSF1B	protein-coding
220	12900	55187	1	16329	VPS13D	protein-coding
221	28575	677885	1	152	SNORA59A	snoRNA
222	7382	9249	1	1806	DHRS3	protein-coding
223	22418	343066	1	1575	AADACL4	protein-coding
224	18034	126767	1	4049	AADACL3	protein-coding
225	17129	93190	1	1019	C1orf158	protein-coding
226	23953	390999	1	1786	PRAMEF12	protein-coding
227	14685	65121	1	1606	PRAMEF1	protein-coding
228	25442	440560	1	1839	PRAMEF11	protein-coding
229	22420	343069	1	1108	HNRNPCL1	protein-coding
230	14686	65122	1	1642	PRAMEF2	protein-coding
231	24496	400735	1	1840	PRAMEF4	protein-coding
232	22422	343071	1	1518	PRAMEF10	protein-coding
233	25714	441871	1	1425	PRAMEF7	protein-coding
234	25443	440561	1	1720	PRAMEF6	protein-coding
235	28370	653606	1	1446	PRAMEF22	protein-coding
236	29402	729368	1	1674	PRAMEF23	protein-coding
237	25715	441873	1	1571	PRAMEF25	protein-coding
238	25444	440563	1	1156	HNRNPCP5	protein-coding
239	27573	645359	1	1188	LOC645359	protein-coding
240	24778	401940	1	2104	PRAMEF3	protein-coding
241	22419	343068	1	1855	PRAMEF5	protein-coding
242	23955	391002	1	1844	PRAMEF8	protein-coding
243	22421	343070	1	1863	PRAMEF9	protein-coding
244	24497	400736	1	2164	PRAMEF13	protein-coding
245	23956	391003	1	2123	PRAMEF18	protein-coding
246	28425	654348	1	1587	PRAMEF16	protein-coding
247	23954	391001	1	1508	PRAMEF21	protein-coding
248	29455	729516	1	1496	PRAMEF24	unknown
249	28371	653619	1	1862	PRAMEF15	protein-coding
250	29458	729528	1	2100	PRAMEF14	pseudo
251	27589	645414	1	2123	PRAMEF19	protein-coding
252	23957	391004	1	1557	PRAMEF17	protein-coding
253	27593	645425	1	1597	PRAMEF20	protein-coding
254	18033	126755	1	1908	LRRC38	protein-coding
255	8552	10630	1	2980	PDPN	protein-coding
256	6368	7799	1	9583	PRDM2	protein-coding
257	9490	23254	1	9368	KAZN	protein-coding
258	20037	200197	1	6979	TMEM51-AS1	miscRNA
259	12821	55092	1	2238	TMEM51	protein-coding
260	17438	114827	1	5090	FHAD1	protein-coding
261	14871	79180	1	2419	EFHD2	protein-coding
262	9107	11330	1	899	CTRC	protein-coding
263	14303	63036	1	920	CELA2A	protein-coding
264	11728	51032	1	923	CELA2B	protein-coding
265	700	842	1	1993	CASP9	protein-coding
266	9557	23341	1	6025	DNAJC16	protein-coding
267	NA.15	100507192	1	354	NA	NA
268	15176	79814	1	2196	AGMAT	protein-coding
269	27558	645317	1	513	CHCHD2P6	pseudo
270	16233	84301	1	2680	DDI2	protein-coding
271	5101	6248	1	1854	RSC1A1	protein-coding
272	9448	23207	1	4122	PLEKHM2	protein-coding
273	21426	284723	1	3070	SLC25A34	protein-coding
274	23442	388595	1	1520	TMEM82	protein-coding
275	12547	54751	1	3773	FBLIM1	protein-coding
276	25445	440567	1	538	UQCRHL	protein-coding
277	29486	729614	1	2732	FLJ37453	miscRNA
278	9291	23013	1	12227	SPEN	protein-coding
279	6314	7709	1	2751	ZBTB17	protein-coding
280	19097	149563	1	917	C1orf64	protein-coding
281	10584	27129	1	2892	HSPB7	protein-coding
282	991	1187	1	2536	CLCNKA	protein-coding
283	992	1188	1	2923	CLCNKB	protein-coding
284	22663	348487	1	1701	FAM131C	protein-coding
285	1609	1969	1	3964	EPHA2	protein-coding
286	NA.16	100506484	1	880	NA	NA
287	18119	128272	1	3029	ARHGEF19	protein-coding
288	14923	79363	1	1560	RSG1	protein-coding
289	12397	54455	1	2976	FBXO42	protein-coding
290	10146	26099	1	3634	SZRD1	protein-coding
291	23001	374955	1	2015	SPATA21	protein-coding
292	13234	55707	1	2082	NECAP2	protein-coding
293	17431	114819	1	5368	CROCCP3	pseudo
294	10491	26871	1	164	RNU1-1	snRNA
295	38814	100506533	1	423	LOC100506533	protein-coding
296	32462	100133301	1	510	LOC100133301	protein-coding
297	13207	55672	1	4283	NBPF1	protein-coding
298	16458	84809	1	1765	CROCCP2	pseudo
299	9028	11209	1	2636	MST1P2	pseudo
300	10489	26869	1	164	RNU1-3	snRNA
301	29474	729574	1	510	LOC729574	protein-coding
302	21427	284729	1	2015	ESPNP	pseudo
303	29477	729587	1	510	LOC729587	protein-coding
304	4951	6060	1	164	RNU1-4	snRNA
305	9040	11223	1	4396	MST1L	protein-coding
306	NA.17	100506687	1	366	NA	NA
307	10490	26870	1	164	RNU1-2	snRNA
308	7743	9696	1	6656	CROCC	protein-coding
309	3501	4237	1	1176	MFAP2	protein-coding
310	9604	23400	1	3996	ATP13A2	protein-coding
311	5222	6390	1	1153	SDHB	protein-coding
312	9053	11240	1	4363	PADI2	protein-coding
313	24498	400743	1	573	LOC400743	unknown
314	11503	29943	1	3847	PADI1	protein-coding
315	12172	51702	1	3189	PADI3	protein-coding
316	9739	23569	1	2265	PADI4	protein-coding
317	22775	353238	1	2347	PADI6	protein-coding
318	13398	55920	1	4131	RCC2	protein-coding
319	12876	55160	1	4494	ARHGEF10L	protein-coding
320	15760	81569	1	1672	ACTL8	protein-coding
321	16576	84966	1	1946	IGSF21	protein-coding
322	18096	127707	1	5070	KLHDC7A	protein-coding
323	4141	5081	1	6313	PAX7	protein-coding
324	15561	80834	1	2521	TAS1R2	protein-coding
325	6931	8659	1	3581	ALDH4A1	protein-coding
326	35319	100302276	1	78	MIR1290	miscRNA
327	18044	126917	1	5835	IFFO2	protein-coding
328	9565	23352	1	15882	UBR4	protein-coding
329	9334	23065	1	4238	EMC1	protein-coding
330	11826	51154	1	2273	MRTO4	protein-coding
331	20527	246181	1	2314	AKR7L	pseudo
332	9263	22977	1	1241	AKR7A3	protein-coding
333	38907	100506730	1	2490	LOC100506730	miscRNA
334	6865	8574	1	1362	AKR7A2	protein-coding
335	12659	54896	1	2255	PQLC2	protein-coding
336	690	832	1	1710	CAPZB	protein-coding
337	NA.18	644075	1	2925	NA	NA
338	27254	644083	1	2336	LOC644083	unknown
339	25448	440574	1	3989	MINOS1	protein-coding
340	3821	4681	1	2187	NBL1	protein-coding
341	2798	3362	1	1984	HTR6	protein-coding
342	20703	255104	1	2974	TMCO4	protein-coding
343	12464	54546	1	1250	RNF186	protein-coding
344	9488	23252	1	6515	OTUD3	protein-coding
345	11559	30814	1	487	PLA2G2E	protein-coding
346	4345	5320	1	1032	PLA2G2A	protein-coding
347	4347	5322	1	1894	PLA2G5	protein-coding
348	10254	26279	1	2630	PLA2G2D	protein-coding
349	14526	64600	1	2719	PLA2G2F	protein-coding
350	23959	391013	1	453	PLA2G2C	protein-coding
351	18098	127733	1	2972	UBXN10	protein-coding
352	18097	127731	1	4475	VWA5B1	protein-coding
353	22166	339505	1	3783	LOC339505	miscRNA
354	13078	55450	1	2351	CAMK2N1	protein-coding
355	15003	79594	1	2458	MUL1	protein-coding
356	19666	163933	1	2582	FAM43B	protein-coding
357	814	978	1	960	CDA	protein-coding
358	14663	65018	1	2660	PINK1	protein-coding
359	1368	1650	1	2126	DDOST	protein-coding
360	13986	57576	1	3778	KIF17	protein-coding
361	24499	400745	1	3834	SH2D5	protein-coding
362	11639	50809	1	3921	HP1BP3	protein-coding
363	6943	8672	1	6179	EIF4G3	protein-coding
364	35227	100302155	1	119	MIR1256	miscRNA
365	1554	1889	1	5737	ECE1	protein-coding
366	NA.19	100506824	1	723	NA	NA
367	38938	100506801	1	2574	LOC100506801	miscRNA
368	16168	84224	1	3766	NBPF3	protein-coding
369	210	249	1	2596	ALPL	protein-coding
370	4819	5909	1	3596	RAP1GAP	protein-coding
371	16152	84196	1	5189	USP48	protein-coding
372	24779	401944	1	4012	LDLRAD2	protein-coding
373	2776	3339	1	14186	HSPG2	protein-coding
374	9634	23436	1	1003	CELA3B	protein-coding
375	8127	10136	1	907	CELA3A	protein-coding
376	11391	29092	1	1198	LINC00339	miscRNA
377	829	998	1	3155	CDC42	protein-coding
378	12374	54361	1	3905	WNT4	protein-coding
379	7946	9923	1	8992	ZBTB40	protein-coding
380	1676	2046	1	5411	EPHA8	protein-coding
381	587	712	1	1098	C1QA	protein-coding
382	589	714	1	1191	C1QC	protein-coding
383	588	713	1	1044	C1QB	protein-coding
384	1678	2048	1	4869	EPHB2	protein-coding
385	37917	100422914	1	68	MIR4253	miscRNA
386	27803	646262	1	1554	LACTBL1	protein-coding
387	29290	729059	1	509	C1orf234	protein-coding
388	9303	23028	1	3107	KDM1A	protein-coding
389	37869	100422866	1	68	MIR3115	miscRNA
390	6367	7798	1	8487	LUZP1	protein-coding
391	2789	3352	1	2835	HTR1D	protein-coding
392	8217	10236	1	2741	HNRNPR	protein-coding
393	15551	80818	1	4814	ZNF436	protein-coding
394	19062	148898	1	2869	C1orf213	miscRNA
395	5685	6920	1	1586	TCEA3	protein-coding
396	13159	55616	1	4152	ASAP3	protein-coding
397	1540	1870	1	5192	E2F2	protein-coding
398	2824	3399	1	1288	ID3	protein-coding
399	20844	259283	1	1027	MDS2	miscRNA
400	29557	729856	1	468	LOC729856	pseudo
401	5009	6135	1	609	RPL11	protein-coding
402	5689	6924	1	4943	TCEB3	protein-coding
403	39004	100506963	1	1077	LOC100506963	miscRNA
404	13737	57095	1	1622	PITHD1	protein-coding
405	9093	11313	1	1624	LYPLA2	protein-coding
406	2134	2582	1	1858	GALE	protein-coding
407	2627	3155	1	1608	HMGCL	protein-coding
408	2075	2517	1	2122	FUCA1	protein-coding
409	1045	1269	1	1775	CNR2	protein-coding
410	13171	55629	1	2417	PNRC2	protein-coding
411	8658	10772	1	4991	SRSF10	protein-coding
412	18069	127294	1	5800	MYOM3	protein-coding
413	14204	58985	1	2798	IL22RA1	protein-coding
414	19656	163702	1	4549	IFNLR1	protein-coding
415	21410	284632	1	1846	LOC284632	miscRNA
416	14132	57822	1	3424	GRHL3	protein-coding
417	16862	90529	1	2501	STPG1	protein-coding
418	13807	57185	1	5426	NIPAL3	protein-coding
419	8954	11123	1	1700	RCAN3	protein-coding
420	39009	100506985	1	2016	LOC100506985	miscRNA
421	24500	400746	1	3902	NCMAP	protein-coding
422	8231	10250	1	3934	SRRM1	protein-coding
423	10028	25932	1	4434	CLIC4	protein-coding
424	714	864	1	4767	RUNX3	protein-coding
425	10041	25949	1	1777	SYF2	protein-coding
426	13710	57035	1	1465	C1orf63	protein-coding
427	4908	6007	1	2833	RHD	protein-coding
428	9748	23585	1	2280	TMEM50A	protein-coding
429	4907	6006	1	1618	RHCE	protein-coding
430	12930	55219	1	3940	TMEM57	protein-coding
431	10158	26119	1	2935	LDLRAP1	protein-coding
432	13769	57134	1	3201	MAN1C1	protein-coding
433	NA.20	100507013	1	2224	NA	NA
434	13812	57190	1	4332	SEPN1	protein-coding
435	13501	56181	1	2403	MTFR1L	protein-coding
436	27850	646471	1	3653	LOC646471	miscRNA
437	14751	79000	1	2061	AUNIP	protein-coding
438	19669	164091	1	3023	PAQR7	protein-coding
439	3255	3925	1	3602	STMN1	protein-coding
440	4118	5051	1	3581	PAFAH2	protein-coding
441	1744	2134	1	4015	EXTL1	protein-coding
442	6357	7780	1	2473	SLC30A2	protein-coding
443	16393	84676	1	1764	TRIM63	protein-coding
444	19087	149420	1	4595	PDIK1L	protein-coding
445	15269	79927	1	1524	FAM110D	protein-coding
446	NA.21	100128346	1	1468	NA	NA
447	11730	51042	1	649	ZNF593	protein-coding
448	8237	10256	1	2536	CNKSR1	protein-coding
449	23089	378807	1	1419	CATSPER4	protein-coding
450	14589	64793	1	3935	CEP85	protein-coding
451	15868	83442	1	1115	SH3BGRL3	protein-coding
452	16967	91544	1	2072	UBXN11	protein-coding
453	870	1043	1	505	CD52	protein-coding
454	12795	55057	1	5245	AIM1L	protein-coding
455	20804	257101	1	1653	ZNF683	protein-coding
456	15110	79727	1	4014	LIN28A	protein-coding
457	15283	79947	1	3301	DHDDS	protein-coding
458	2624	3151	1	1969	HMGN2	protein-coding
459	5058	6195	1	3383	RPS6KA1	protein-coding
460	35257	100302190	1	52	MIR1976	miscRNA
461	6628	8289	1	8585	ARID1A	protein-coding
462	13185	55650	1	2365	PIGV	protein-coding
463	16180	84243	1	3139	ZDHHC18	protein-coding
464	2322	2810	1	1315	SFN	protein-coding
465	12528	54707	1	1510	GPN2	protein-coding
466	14323	63906	1	2129	GPATCH3	protein-coding
467	6740	8431	1	1271	NR0B2	protein-coding
468	8622	10726	1	1327	NUDC	protein-coding
469	18031	126695	1	1803	C1orf172	protein-coding
470	27878	646567	1	456	OSTCP2	protein-coding
471	23445	388610	1	1949	TRNP1	protein-coding
472	17498	115572	1	2374	FAM46B	protein-coding
473	5360	6548	1	4572	SLC9A1	protein-coding
474	9313	23038	1	4802	WDTC1	protein-coding
475	16072	84065	1	1614	TMEM222	protein-coding
476	27471	644961	1	2652	LOC644961	pseudo
477	16570	84958	1	1966	SYTL1	protein-coding
478	7234	9064	1	4328	MAP3K6	protein-coding
479	6840	8547	1	1032	FCN3	protein-coding
480	23446	388611	1	1539	CD164L2	protein-coding
481	2337	2827	1	2111	GPR3	protein-coding
482	8153	10163	1	4270	WASF2	protein-coding
483	10652	27245	1	6496	AHDC1	protein-coding
484	1858	2268	1	2774	FGR	protein-coding
485	2094	2537	1	860	IFI6	protein-coding
486	20011	199870	1	3462	FAM76A	protein-coding
487	9816	23673	1	3079	STX12	protein-coding
488	4492	5511	1	2811	PPP1R8	protein-coding
489	28503	677774	1	166	SCARNA1	miscRNA
490	7560	9473	1	2723	THEMIS2	protein-coding
491	4994	6118	1	1720	RPA2	protein-coding
492	10676	27293	1	2271	SMPDL3B	protein-coding
493	12838	55113	1	2158	XKR8	protein-coding
494	1749	2140	1	2045	EYA3	protein-coding
495	28360	653566	1	1624	SPCS2P4	pseudo
496	4680	5724	1	4533	PTAFR	protein-coding
497	9149	22826	1	1765	DNAJC8	protein-coding
498	17176	93974	1	1911	ATPIF1	protein-coding
499	15940	83667	1	3485	SESN2	protein-coding
500	12574	54797	1	1869	MED18	protein-coding
501	14711	65979	1	6492	PHACTR4	protein-coding
502	6734	8420	1	2346	SNHG3	miscRNA
503	921	1104	1	3027	RCC1	protein-coding
504	4966	6080	1	207	SNORA73A	snoRNA
505	10403	26768	1	158	RNU105A	snoRNA
506	12707	54952	1	2015	TRNAU1AP	protein-coding
507	16614	85028	1	739	SNHG12	miscRNA
508	28629	692212	1	80	SNORD99	snoRNA
509	28559	677838	1	130	SNORA61	snoRNA
510	28546	677825	1	132	SNORA44	snoRNA
511	28584	692073	1	134	SNORA16A	snoRNA
512	17481	115273	1	1343	RAB42	protein-coding
513	5649	6883	1	1451	TAF12	protein-coding
514	10457	26824	1	135	RNU11	snRNA
515	8604	10691	1	1973	GMEB1	protein-coding
516	12029	51441	1	3063	YTHDF2	protein-coding
517	4064	4985	1	1774	OPRD1	protein-coding
518	1665	2035	1	6292	EPB41	protein-coding
519	24295	399474	1	2616	TMEM200B	protein-coding
520	5258	6429	1	2530	SRSF4	protein-coding
521	11780	51102	1	2434	MECR	protein-coding
522	8075	10076	1	5640	PTPRU	protein-coding
523	NA.22	100288450	1	411	NA	NA
524	3429	4146	1	3830	MATN1	protein-coding
525	30863	100129196	1	2050	MATN1-AS1	miscRNA
526	6372	7805	1	2240	LAPTM5	protein-coding
527	7722	9672	1	5121	SDC3	protein-coding
528	7745	9698	1	5385	PUM1	protein-coding
529	28648	692234	1	88	SNORD103A	snoRNA
530	28649	692235	1	88	SNORD103B	snoRNA
531	28617	692200	1	75	SNORD85	snoRNA
532	11355	28997	1	570	PRO0611	unknown
533	14986	79570	1	2922	NKAIN1	protein-coding
534	7508	9410	1	1624	SNRNP40	protein-coding
535	12083	51538	1	1602	ZCCHC17	protein-coding
536	1772	2170	1	1097	FABP3	protein-coding
537	22628	347735	1	1997	SERINC2	protein-coding
538	19072	149086	1	1199	LOC149086	pseudo
539	21391	284551	1	2741	LOC284551	miscRNA
540	14412	64129	1	2237	TINAGL1	protein-coding
541	2548	3061	1	2001	HCRTR1	protein-coding
542	26473	553115	1	2217	PEF1	protein-coding
543	1079	1307	1	5584	COL16A1	protein-coding
544	474	576	1	5415	BAI2	protein-coding
545	38028	100423028	1	76	MIR4254	miscRNA
546	16900	90853	1	3888	SPOCD1	protein-coding
547	6507	8073	1	3929	PTP4A2	protein-coding
548	NA.23	100507229	1	1574	NA	NA
549	8577	10657	1	2685	KHDRBS1	protein-coding
550	12840	55116	1	1818	TMEM39B	protein-coding
551	9789	23633	1	7373	KPNA6	protein-coding
552	20028	200081	1	4796	TXLNA	protein-coding
553	14837	79140	1	877	CCDC28B	protein-coding
554	13245	55721	1	2293	IQCC	protein-coding
555	19070	149069	1	1349	DCDC2B	protein-coding
556	NA.24	100507457	1	919	NA	NA
557	13431	56063	1	1082	TMEM234	protein-coding
558	6940	8668	1	1458	EIF3I	protein-coding
559	22161	339483	1	2324	MTMR9LP	pseudo
560	16427	84734	1	956	FAM167B	protein-coding
561	3260	3932	1	2233	LCK	protein-coding
