row	center	flow_cell	lane	individual	concentration	cellline	gender
46	argonne	090113_HGAC_S100037_PIPELINE_V2	7	NA19102	1.5	NA19102	Female
47	argonne	090330_HGAC_S100065	6	NA19108	3.5	NA19108	Female
48	argonne	090421_HGAC_S100075	7	NA19114	3.5	NA19114	Female
49	argonne	090218_HGAC_S100047_PIPELINE_V2	8	NA19116	2.5	NA19116	Female
50	argonne	090113_HGAC_S100037_PIPELINE_V2	2	NA19119	1.5	NA19119	Male
51	argonne	090417_HGAC_S100073	2	NA19127	3.5	NA19127	Female
52	argonne	090205_HGAC_S100044_PIPELINE_V2	2	NA19128	2.5	NA19128	Male
53	argonne	090205_HGAC_S100044_PIPELINE_V2	3	NA19130	2.5	NA19130	Male
54	argonne	090330_HGAC_S100065	5	NA19131	3.5	NA19131	Female
55	argonne	090722_HGAC_S1000102	2	NA19137	3.5	NA19137	Female
56	argonne	090417_HGAC_S100073	7	NA19138	3.5	NA19138	Male
57	argonne	090417_HGAC_S100073	1	NA19140	3.5	NA19140	Female
58	argonne	091013_HGAC_S1000131	6	NA19141	3.5	NA19141	Male
59	argonne	090312_HGAC_S100055	8	NA19143	3.5	NA19143	Female
60	argonne	090312_HGAC_S100054	5	NA19144	3.5	NA19144	Male
61	argonne	090312_HGAC_S100055	2	NA19147	3.5	NA19147	Female
62	argonne	090312_HGAC_S100055	3	NA19152	3.5	NA19152	Female
63	argonne	090312_HGAC_S100054	8	NA19153	3.5	NA19153	Male
64	argonne	090617_HGAC_S100091	3	NA19159	3.5	NA19159	Female
65	argonne	090520_HGAC_S100083	3	NA19160_2	3.5	NA19160	Male
66	argonne	090421_HGAC_S100075	5	NA19160	3.5	NA19160	Male
67	argonne	090617_HGAC_S100091	6	NA19171_2	3.5	NA19171	Male
68	argonne	090113_HGAC_S100037_PIPELINE_V2	4	NA19171	1.5	NA19171	Male
69	argonne	090218_HGAC_S100047_PIPELINE_V2	6	NA19172	2.5	NA19172	Female
70	argonne	090330_HGAC_S100065	7	NA19190	3.5	NA19190	Female
71	argonne	090414_HGAC_S100072	2	NA19192	3.5	NA19192	Male
72	argonne	090520_HGAC_S100083	2	NA19193	3.5	NA19193	Female
73	argonne	090722_HGAC_S1000102	3	NA19200_2	3.5	NA19200	Male
74	argonne	090113_HGAC_S100037_PIPELINE_V2	3	NA19200	1.5	NA19200	Male
75	argonne	090312_HGAC_S100054	6	NA19201	3.5	NA19201	Female
76	argonne	090205_HGAC_S100044_PIPELINE_V2	4	NA19203	2.5	NA19203	Male
77	argonne	090617_HGAC_S100091	2	NA19204	3.5	NA19204	Female
78	argonne	091013_HGAC_S1000131	7	NA19206_2	3.5	NA19206	Female
79	argonne	091013_HGAC_S1000131	3	NA19207	3.5	NA19207	Male
80	argonne	090312_HGAC_S100055	7	NA19209	3.5	NA19209	Female
81	argonne	090312_HGAC_S100054	7	NA19210	3.5	NA19210	Male
82	argonne	090414_HGAC_S100072	3	NA19222	3.5	NA19222	Female
83	argonne	090421_HGAC_S100075	2	NA19225	3.5	NA19225	Female
84	argonne	090312_HGAC_S100054	1	NA19238	3.5	NA19238	Female
85	argonne	090312_HGAC_S100054	2	NA19239	3.5	NA19239	Male
86	argonne	090414_HGAC_S100072	1	NA19257	3.5	NA19257	Female
